Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antigua and Barbuda,0.170484165,0.177476319,0.198953699,0.200362286,0.186097854,0.211271927,0.198832258,0.213096994,0.217857955,0.223152218,0.226536808,0.209157408,0.243947194,0.178934798,0.198481032,0.202528127,0.207186607,0.242841364,0.254333698,0.253916374,0.246589836,0.249826747,0.251901018,0.250298424,0.261995194,0.271560052,0.271213484,0.280569089,0.286065642,0.281598456,0.226030555,0.226171963,0.240385446,0.255118515,0.260371794,0.265249156,0.283224065,0.304024198,0.32103256,0.351175335,0.341939249,0.280533516,0.302230531,0.347695228,0.357392473,0.356448736,0.377181213,0.335723562,0.375275149,0.408738859,0.358700543,0.348980861,0.359825403
Australia,315.014313,321.2737533,333.3670527,340.5712706,355.3795269,364.745192,367.8719165,374.5540951,365.5537286,369.7471054,376.997659,379.8932552,387.227379,373.9883467,385.7228056,401.6027659,406.308058,417.0141229,425.5885041,448.8158661,457.2166203,460.1053908,461.7200781,464.745902,470.1945406,477.8887538,491.4381115,504.3820682,526.4948157,533.7184883,542.6008353,552.4617806,561.0545859,552.0085832,572.4742254,576.5897885,581.0204301,589.5369847,587.6602516,596.658121,601.8657319,605.7947241,608.2882166,597.0736586,585.4420386,593.5614924,594.0243561,601.0651667,597.7740968,596.0316222,572.8336503,561.6546855,571.3821126
Austria,72.48602518,75.34723245,77.66532012,81.40550196,79.09436447,76.66039801,82.06178855,79.53781777,81.65870777,84.43347375,82.56175699,79.07560475,76.89629432,76.76289062,79.30757471,80.64054092,79.0726535,79.24770591,78.03433894,77.33591721,81.5080331,85.6669767,80.12201025,80.09473944,80.45419369,83.30239207,87.25541067,86.47126661,86.66179547,84.61839126,84.75556661,89.65513071,91.16828614,96.9484345,96.66451738,96.87781537,94.37830739,91.2610279,90.67401677,83.63501824,89.80709033,88.00773068,84.74270302,85.41958856,81.74592658,82.72412597,83.41982092,85.87440514,82.84745676,84.39550825,78.30591696,81.21859428,76.74330447
Azerbaijan,46.2763291,48.22144041,50.68698227,53.47628176,56.10116348,59.74919854,61.53002978,63.05454504,65.59587246,67.34507738,69.75827466,69.05098278,68.68134754,68.49882121,68.75580568,68.78745666,69.84185336,72.09334235,72.56937435,73.14163918,69.80753516,67.44666727,56.68368645,50.30482719,45.29804829,44.17297089,38.9188519,38.41559901,38.83368072,39.60285862,41.43878878,40.51910416,40.2779066,43.33438674,43.33124644,46.45860266,48.07083198,50.04565567,55.92442831,49.37553321,48.6263053,51.42807398,54.96833468,56.40177441,58.44391696,58.03202955,58.13011745,57.78562746,59.19063001,64.3138454,63.53125494,68.04093958,68.87689667
Burundi,2.284847021,2.281655111,2.377443057,2.434997927,2.46069333,2.546796367,2.565471614,2.58637945,2.626513925,2.705405477,2.476041544,2.286325936,2.318282959,2.374370791,2.458624507,2.422055087,2.629868076,2.683599285,2.818983505,2.877034673,3.059203441,3.198747624,3.153610612,3.186830821,3.141269822,3.238098819,3.311901572,3.366753448,3.326119133,3.248033905,3.332463496,3.354087874,3.336795785,3.404424066,3.598184269,3.731916109,3.96599547,4.272897153,4.329794989,4.55217675,4.94563646,5.274695134,5.341592673,6.070156267,6.075102907,6.140360486,6.512932756,7.223433791,7.519677829,7.177571265,7.140930559,7.332370662,7.479944227
Belgium,170.2065479,160.3201392,171.8227455,177.6347548,177.8942795,158.1461805,167.5914514,166.2434757,170.5228587,179.8111736,169.2999693,157.5786007,149.2347039,139.9743848,144.0703829,141.5493086,141.0581892,140.1659121,140.5917339,141.3950565,142.8033598,146.7846939,144.6124895,142.6199885,150.236785,151.1272626,156.4009601,152.6937805,156.4178725,152.5357116,153.8040954,153.9958153,146.2222924,149.972758,148.8784292,145.8352953,142.2547099,139.5681224,141.178916,133.5564644,142.0887459,131.7628989,129.7652706,130.8708575,123.7191264,127.9969407,126.584552,124.1913905,124.9002796,124.5499598,116.7932574,121.8803942,114.0322032
Benin,2.519078841,2.613382168,2.82670811,2.974561318,2.962125681,3.160644187,3.041618006,3.163125072,3.27203932,3.396248445,3.561707895,3.776783098,4.013186311,3.941604982,4.037312931,4.283517298,4.03910334,4.023008256,3.998548486,4.00313163,4.201586855,4.309990554,4.429595969,4.469492488,4.819300129,4.61901035,5.582689887,5.888110094,5.927905435,6.293308593,6.546058718,7.099115447,7.570745464,7.946559213,8.285764732,8.7593636,10.03727958,10.77256541,10.91635105,11.47471791,12.3775167,12.50566435,12.50270716,13.32943815,13.93211517,14.50030186,16.19111535,16.60469408,18.14000492,18.26047751,19.05826073,20.09747708,20.6851389
Burkina Faso,6.801391596,6.83491765,6.514349345,6.22644668,6.341837309,6.550113328,6.734930627,6.85378726,7.11357553,7.437298762,7.646532035,7.95399879,8.294764112,8.553381727,8.772150502,9.723118772,10.08629716,10.47059578,10.77430844,11.02197383,11.28348123,11.88635102,12.01947357,12.3012133,12.67591741,13.08561377,13.46124972,14.02030541,14.43986936,14.45335594,14.8685338,15.94544531,16.37090519,19.69828457,20.06269541,20.70136091,21.18316085,22.17785185,23.22819371,23.68992605,24.55942381,25.29910298,26.25154569,27.27979307,27.6228262,29.41694217,30.14793448,31.29659545,32.54677187,33.729529,34.40499973,35.5827156,36.49707311
Bangladesh,130.9926036,124.3601615,126.5104029,127.7901864,126.7060742,132.2000085,129.1016495,130.7204462,134.4057134,136.52423,129.8663124,130.6124453,132.6207588,126.8904772,129.8626135,132.5816662,135.496768,134.5715539,135.6516598,139.3932141,139.9127847,138.2599169,139.8898391,139.3755085,141.4909416,146.7616689,147.7617534,149.2136779,148.5577548,154.9462429,156.853515,163.779482,168.1355984,171.8033421,173.4201247,179.5550053,185.3687848,190.4652987,201.8681548,207.1850397,216.4392519,220.9545161,226.5301188,231.8280204,238.0819099,248.0883549,255.6827501,268.2027077,278.9059399,276.8542506,269.031096,276.7974271,281.0821099
Bulgaria,91.66372041,92.38830136,95.3298175,96.50518075,97.4694579,104.0078019,104.9263568,107.9032158,114.1140518,118.1139236,121.6681858,118.0832326,120.1494192,119.0986137,117.1086033,118.608641,119.65184,119.7315908,119.0527785,117.1532446,104.9864512,90.79257642,85.9057253,85.13060451,79.37131178,77.53881087,78.01077859,75.16948653,72.18016685,64.9646414,63.13848464,64.94600429,61.56047527,67.60691473,65.90276233,66.75527549,68.13525291,71.87282507,68.6512363,60.41395907,63.18201608,68.82102054,63.50117902,58.10018187,60.59060171,64.90582447,62.59397877,65.31577632,62.09806907,60.70630043,56.07557291,63.36125449,68.41354507
Bahrain,18.21307108,18.37579901,19.33294033,20.73861231,22.34971717,20.18620257,21.1559289,24.09593136,23.94623921,24.82943986,24.72650545,24.92640164,25.24791077,25.03203945,25.14815406,26.38853651,28.72246115,28.05104263,29.11628263,29.41505851,30.22408986,29.66625206,34.13513267,36.37668673,36.3848237,36.27672937,37.66525096,35.24125526,36.86679698,39.01132084,39.59983639,40.74244944,40.3330211,40.03492961,39.93851678,43.73299253,45.54981465,46.79792665,50.55266815,51.17046389,51.69874869,52.06444655,55.89536256,60.72260409,62.75977488,62.93672522,63.13046193,62.9964515,63.3052795,67.43286649,67.63467038,69.43410461,69.97621188
Bahamas,1.586008891,1.621951464,1.88900881,1.885433053,1.668324395,1.711046239,1.534509185,1.690359939,1.714642188,1.764684123,1.744445495,1.564632741,1.329452431,1.032672004,1.024698691,0.937251022,0.977637071,1.121087316,1.146902505,1.310441786,1.289922422,1.200879522,1.075505966,1.107952959,1.17940546,1.337697865,1.473510866,1.474165719,1.662361871,1.472006608,1.23036136,1.249626406,1.327412561,1.077172558,1.157967467,1.145066368,1.351117166,1.585458773,1.642296906,1.42138537,1.576437284,1.192122732,1.387596922,1.521780445,1.521514201,1.461410384,1.574402451,1.675113031,1.950058479,2.127109779,1.870724127,1.823093416,1.881552497
Bosnia and Herzegovina,16.43050843,16.77969804,16.3861716,17.62090495,19.06614819,19.62062721,19.56653912,20.16263406,20.95912736,21.676115,21.04072375,23.1179758,24.20224866,25.65488067,26.68808266,27.76290371,28.6184565,27.03818603,27.22739338,27.54840013,32.78992668,29.72790593,22.82799548,19.53386157,6.535369554,6.559898744,7.269294086,12.5815888,15.75237268,16.19060098,19.92340736,19.4618095,20.5645886,20.98718224,22.49991558,23.24797522,25.42486068,26.68203931,28.1480602,27.92994787,28.46071803,31.74834878,29.65530671,29.47388712,28.00785836,27.9624687,30.98512761,31.57439643,31.99978521,30.3237907,30.23216165,29.29410869,29.32400648
Belarus,82.25701043,84.09258276,88.14608659,92.93914912,97.53998919,103.8183449,106.7439713,108.7141889,112.4466366,115.0608088,118.1752805,117.6365501,118.8103952,120.5126069,121.839536,123.3477397,126.2510741,129.5455637,129.9540237,131.0180127,137.5282153,132.7556416,121.2140544,106.9805923,93.3526109,84.68238496,84.95155436,85.01567398,83.45892108,81.01147419,78.02144738,76.6795893,76.62152694,77.21724856,81.23136948,81.38210764,84.29661985,82.91710489,90.6657334,88.00413316,93.21458407,103.2419324,105.0777135,105.6240962,105.0571931,100.5271781,99.71854677,101.400756,104.7188949,102.7208734,100.0606445,102.4866392,99.874152
Belize,0.293206437,0.314631403,0.333655192,0.339019223,0.34468372,0.364534851,0.357160903,0.369196141,0.370037885,0.371899356,0.377238291,0.37595717,0.374450424,0.39613809,0.388757603,0.38720791,0.411479875,0.400285256,0.392589905,0.44134655,0.495448512,0.514206142,0.510957485,0.495982156,0.496311434,0.480099586,0.466388706,0.556213175,0.574203455,0.61621423,0.528775755,0.554034569,0.566944757,0.597349684,0.576995054,0.601059184,0.689716929,0.723444755,0.735396019,0.795029297,0.835264013,0.815014257,0.792303639,0.868870155,0.816461249,0.859144224,0.881540822,0.924718402,0.90923053,0.93622973,0.908161731,0.949092572,0.976613129
Bermuda,0.16420057,0.165775913,0.196685,0.19885833,0.180603524,0.214121358,0.196771766,0.214717324,0.214803734,0.212875218,0.211187632,0.184260636,0.18382796,0.188934389,0.202842332,0.198720958,0.195387515,0.283098404,0.327488412,0.400303253,0.273095471,0.251759292,0.20556548,0.2272842,0.220227816,0.222219077,0.226701679,0.229972991,0.235290477,0.229482859,0.17208789,0.173982857,0.187287725,0.193846134,0.197841892,0.209327157,0.248249462,0.29585064,0.29700442,0.264857357,0.328054606,0.180135263,0.209642357,0.239188199,0.306035025,0.25404722,0.329501526,0.298023629,0.34597992,0.38057831,0.353398425,0.341853049,0.353852553
Bolivia,27.43320524,28.46460811,33.43989841,35.19171462,35.02655666,33.85410417,35.23089783,33.00917172,34.12611038,32.14568117,31.53696189,29.4447752,30.76248579,31.65264059,30.11881214,30.36804078,28.03971516,29.1482595,29.94166094,31.6103811,31.2785015,33.07589334,34.45567119,36.63912072,38.77460004,31.16741467,30.98648198,34.46327794,31.22285696,31.23348327,31.2113799,30.16060276,31.73327891,33.00094039,35.2378826,36.46790487,37.77259648,40.07917891,41.40767554,42.27038154,46.25870111,47.41810841,49.86078188,52.36933818,53.64718339,54.5915628,56.13813633,56.60938659,56.89689483,57.14387963,53.9488678,58.29220664,58.46296964
Brazil,365.261124,373.6960276,394.4433392,422.0544852,449.7442899,471.8703626,508.8324626,525.4086909,540.6241598,563.8921205,592.1855087,581.7771679,590.8567952,586.6056283,607.023406,622.1426266,657.4657763,675.2555394,689.5729638,700.0025598,695.6381043,721.9207939,744.737912,771.01069,799.1750875,837.0766401,844.6529181,872.3311308,890.2686397,907.7263909,934.7084538,950.3396881,975.5654574,1008.248597,1058.979205,1067.458884,1075.505013,1092.268157,1122.384631,1098.262109,1177.712032,1212.922502,1250.575468,1288.064712,1323.608801,1307.968907,1285.089956,1298.021616,1274.947671,1281.461866,1277.689379,1343.141116,1310.498944
Barbados,0.544465263,0.553913701,0.607883937,0.617116121,0.573048094,0.621921545,0.597034859,0.651235776,0.657450986,0.662634768,0.675748428,0.65990697,0.644393001,0.655220624,0.755353084,0.819701669,0.846641255,0.80250352,0.813988056,0.896994293,0.85891196,0.834696099,0.819913012,0.784077068,0.763953234,0.777070866,0.775460006,0.864258013,0.925882936,0.935594411,0.855839296,0.826312927,0.844674357,0.87587496,0.87633137,0.887292272,0.912329281,0.88883418,1.020532682,1.010351301,1.031622326,0.906967207,0.886324373,0.999722332,0.911138832,0.935653988,0.981768143,0.856223632,0.95954609,1.029146004,0.919582806,0.904176221,0.927976587
Brunei,3.207664267,3.048733193,3.787223641,5.13869819,5.792742207,6.273123336,7.655146635,8.071024432,8.037379352,7.95906148,9.311503683,7.771919939,8.015170177,8.341624538,7.857435755,7.758941135,7.642516472,7.747340401,7.81104785,7.82860674,8.18258867,8.5539741,8.612743404,9.034476598,9.473192582,10.04997219,10.30210089,10.96833638,10.17455668,10.51664359,11.2694891,11.75456292,11.18091015,12.49197229,11.67961459,11.46526743,15.01392203,14.36184272,16.63665969,15.2301994,14.10171862,14.62745116,14.4271771,13.92489045,13.51824935,12.69305184,12.96579684,13.6538841,14.25395986,13.43040332,15.47547686,15.34484613,14.82940539
Bhutan,0.730190832,0.741820765,0.756852662,0.770544405,0.785123146,0.796072181,0.814217431,0.8314758,0.85610052,0.874343364,0.892825895,0.929542307,0.959364399,0.991237293,1.010154465,1.055699023,1.083053547,1.160528124,1.083356079,1.093256705,1.16076894,1.185651521,1.138802691,1.150274964,1.197084903,1.461494907,1.529762173,1.564143926,1.59702347,1.704230942,1.618732841,1.617054585,1.651011203,1.673516102,1.685302666,1.852523765,1.862057271,1.895619789,1.8317854,2.107797989,2.216066168,2.428471594,2.376270574,2.487613771,2.492136412,2.668954457,2.818090959,2.979278356,3.207662128,3.396240374,3.409445811,3.057119386,3.070905258
Botswana,3.456119009,3.585084796,4.160459815,4.392094499,4.989318138,5.558143277,6.386316731,6.939024659,6.697968072,6.785120736,6.99643723,7.24276061,7.445116651,7.161541182,6.914965984,6.628487675,6.806367296,6.921744416,7.882554183,8.329481615,9.333701917,8.363333757,8.621373835,8.369102362,8.501746489,9.534322307,8.618582042,8.889710864,9.744496483,10.3977857,10.76496582,10.18969823,9.757724573,9.530498858,9.476132423,10.13584494,10.01438095,10.19834216,10.47171586,10.42652254,10.21423562,10.6133419,9.675806314,11.49681555,12.35668618,12.794955,11.92910835,12.13152147,13.08455009,11.91497731,10.58685813,11.34119724,12.60706701
Central African Republic,1.81038903,1.888638906,1.987209717,2.048082123,2.176429945,2.230045816,2.316380478,2.498632724,2.714707834,3.317683394,3.523546429,3.652191663,6.794155297,6.91493929,6.500897622,6.673677457,7.228350907,7.12080727,6.937872216,7.720318376,7.82363056,8.336275133,8.328362996,7.809388953,8.464406668,8.683756997,9.04414748,8.179494207,9.485070952,9.341387332,9.57185879,10.01395412,9.023488227,10.17128622,9.539626481,10.28897316,10.35189399,11.10324556,11.12983979,10.49169149,11.15860994,12.1109842,11.80429378,11.75146202,11.64566977,12.06958833,12.82090267,12.32559061,12.59149568,12.57922149,12.85819892,13.12926336,13.44819141
